ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11192233,JB100016,12/31/2017 11:58:00 PM,046XX N ST LOUIS AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,,,1723,17,33,14,5,1152214,1930694,2017,2018 May 04 3:51:04 PM,41.965693651,-87.715726125,"(41.965693651°, -87.715726125°)"
11196379,JB105867,12/31/2017 11:50:00 PM,024XX N LAKE SHORE DR NB,460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,,,1935,19,43,7,08B,1175293,1916610,2017,2018 May 04 3:51:04 PM,41.926558908,-87.631294073,"(41.926558908°, -87.631294073°)"
11192540,JB100551,12/31/2017 11:48:00 PM,001XX E SUPERIOR ST,890,THEFT,FROM BUILDING,HOTEL/MOTEL,,,1833,18,42,8,6,1177508,1905401,2017,2018 May 04 3:51:04 PM,41.895750913,-87.623495923,"(41.895750913°, -87.623495923°)"
11192239,JB100032,12/31/2017 11:45:00 PM,019XX S CANAL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,,✓,1235,12,25,31,14,1173432,1891037,2017,2018 May 04 3:51:04 PM,41.856426716,-87.638892854,"(41.856426716°, -87.638892854°)"
11192254,JB100003,12/31/2017 11:45:00 PM,115XX S STATE ST,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE,,✓,522,5,34,53,04B,1178329,1828012,2017,2018 May 04 3:51:04 PM,41.683369303,-87.622829524,"(41.683369303°, -87.622829524°)"
11192231,JB100018,12/31/2017 11:43:00 PM,039XX N LONG AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,✓,,1633,16,38,15,18,1139656,1925536,2017,2018 May 04 3:51:04 PM,41.951778739,-87.76202629,"(41.951778739°, -87.76202629°)"
11192238,JA569474,12/31/2017 11:40:00 PM,048XX N AVERS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,,,1712,17,39,14,14,1149845,1931713,2017,2018 May 04 3:51:04 PM,41.968536385,-87.724409882,"(41.968536385°, -87.724409882°)"
11192213,JB100015,12/31/2017 11:39:00 PM,107XX S WENTWORTH AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,✓,,513,5,34,49,26,1176851,1833743,2017,2018 May 04 3:51:04 PM,41.699129337,-87.628068173,"(41.699129337°, -87.628068173°)"
11206183,JB119133,12/31/2017 11:30:00 PM,039XX W 69TH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,,,833,8,13,65,5,1151377,1858558,2017,2018 May 04 3:51:04 PM,41.767760717,-87.720696433,"(41.767760717°, -87.720696433°)"
11192349,JB100035,12/31/2017 11:30:00 PM,012XX W 97TH ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,,,2213,22,21,73,04B,1169792,1840606,2017,2018 May 04 3:51:04 PM,41.718118187,-87.653716662,"(41.718118187°, -87.653716662°)"
